지역번호,지역명,일시,평균일강수량(mm),최다일강수량(mm),최다강수량지점,1시간최다강수량(mm),1시간최다강수량지점
0,전국,2022-09-04,7.4,183.1,고산,64.6,고산
0,전국,2022-09-03,2,25.2,포항,7.7,서귀포
0,전국,2022-09-02,4,134.2,성산,19.3,포항
0,전국,2022-09-01,0.1,2.1,통영,1.8,통영
0,전국,2022-08-31,11.5,44,청송군,26.6,부산
0,전국,2022-08-30,29.6,118,서산,22.7,성산
0,전국,2022-08-29,1.2,10.4,백령도,3.5,의성
0,전국,2022-08-28,0,0,"백령도,흑산도,해남",0,"백령도,흑산도"
0,전국,2022-08-27,1,17.6,서울,17.6,서울
0,전국,2022-08-26,0,0.3,울산,0.3,울산
0,전국,2022-08-25,0.3,2,양평,1.8,양평
0,전국,2022-08-24,8.5,57.2,여수,55.3,여수
0,전국,2022-08-23,6.3,57.3,보령,37.6,보령
0,전국,2022-08-22,0.2,7.9,백령도,4.9,백령도
0,전국,2022-08-21,0,0.1,여수,0.1,여수
0,전국,2022-08-20,17.1,83.6,대전,52.7,대전
0,전국,2022-08-19,5.1,66.1,서울,47.1,서울
0,전국,2022-08-18,0,0,"울산,순천,보령",0,"울산,순천,보령"
0,전국,2022-08-17,6.6,212.5,서귀포,58.1,성산
0,전국,2022-08-16,24.7,116.2,전주,59.6,부안
0,전국,2022-08-15,5.1,47.6,부여,53,부여
0,전국,2022-08-14,10,154.3,부여,110.6,부여
0,전국,2022-08-13,10.5,109,보령,72.7,보령
0,전국,2022-08-12,1.9,37.7,해남,34.7,해남
0,전국,2022-08-11,36.4,154.2,보령,64.5,보령
0,전국,2022-08-10,37.3,224.3,서청주,63.3,대전
0,전국,2022-08-09,31.8,249.8,양평,56.2,양평
0,전국,2022-08-08,22.3,261.9,양평,84.8,인천
0,전국,2022-08-07,1.9,26.3,합천,26.3,합천
0,전국,2022-08-06,1.3,50.4,충주,50.4,충주
0,전국,2022-08-05,1,11,보은,10.6,인제
0,전국,2022-08-04,1.6,29.4,인제,27.8,인제
0,전국,2022-08-03,12.7,136.6,양평,41.4,양평
0,전국,2022-08-02,11.2,148.2,인천,58,인천
0,전국,2022-08-01,14.9,103.5,보령,47.5,보령
0,전국,2022-07-31,22.5,104.5,순천,38.5,동두천
0,전국,2022-07-30,0.6,93.2,고산,40.4,고산
0,전국,2022-07-29,0.2,13.9,정선군,13.9,정선군
0,전국,2022-07-28,0.2,4.8,울진,4.4,세종
0,전국,2022-07-27,0,0.2,북강릉,0.2,북강릉
0,전국,2022-07-26,0.3,17.4,의성,17.4,의성
0,전국,2022-07-25,0.1,1.4,안동,1.3,안동
0,전국,2022-07-24,9.7,54.1,성산,29.6,성산
0,전국,2022-07-23,8.4,45.6,파주,19.3,서산
0,전국,2022-07-22,3.8,28,영덕,19.8,이천
0,전국,2022-07-21,16.6,87.2,속초,16.9,통영
0,전국,2022-07-20,0.9,12.1,보령,12.1,보령
0,전국,2022-07-19,0.6,12.6,청주,12.6,청주
0,전국,2022-07-18,39.3,142.3,보성군,71.1,진도군
0,전국,2022-07-17,0.2,7.3,북춘천,6.9,북춘천
0,전국,2022-07-16,2.3,34,서울,33.8,서울
0,전국,2022-07-15,1.6,48.4,고산,26.8,북강릉
0,전국,2022-07-14,3.3,43.4,목포,32.2,목포
0,전국,2022-07-13,32.5,168,인천,42,양평
0,전국,2022-07-12,0.3,10.4,합천,9.7,합천
0,전국,2022-07-11,16.4,85.2,서귀포,57.3,서귀포
0,전국,2022-07-10,4.4,67.5,상주,47.1,상주
0,전국,2022-07-09,0,0.9,영월,0.9,영월
0,전국,2022-07-08,4,26.3,성산,24.4,성산
0,전국,2022-07-07,2.3,23.4,철원,15.7,철원
0,전국,2022-07-06,1.5,24.3,영천,23.9,영천
0,전국,2022-07-05,2,54.6,충주,52.8,충주
0,전국,2022-07-04,2.3,48.1,충주,45.8,충주
0,전국,2022-07-03,2,51.7,세종,50.3,세종
0,전국,2022-07-02,0,0,"파주,순천,영덕",0,"순천,영덕"
0,전국,2022-07-01,0.2,5.4,수원,8.5,철원
0,전국,2022-06-30,35.8,285,수원,60.3,서산
0,전국,2022-06-29,20.9,209.6,서산,105.4,서산
0,전국,2022-06-28,2,68.8,백령도,14.5,백령도
0,전국,2022-06-27,13.4,125.6,밀양,49,봉화
0,전국,2022-06-26,1.2,19.9,속초,10.5,속초
0,전국,2022-06-25,0.5,16.5,서귀포,14.8,서귀포
0,전국,2022-06-24,26.1,105.9,서귀포,32.8,강진군
0,전국,2022-06-23,29.7,140.5,파주,42.4,강화
0,전국,2022-06-22,0,0.3,서귀포,0.2,서귀포
0,전국,2022-06-21,0,2.7,서귀포,1.5,서귀포
0,전국,2022-06-20,1.5,37,임실,27.4,임실
0,전국,2022-06-19,0,1.8,백령도,0.5,"순천,성산,서귀포"
0,전국,2022-06-18,0.2,8.4,부안,7.1,부안
0,전국,2022-06-17,0.1,3.3,광주,3.3,광주
0,전국,2022-06-16,0.9,19.9,인제,9,인제
0,전국,2022-06-15,10.7,52.7,수원,16.8,영천
0,전국,2022-06-14,5.3,24.5,"울산,거제",9.6,울산
0,전국,2022-06-13,0.9,37.9,동두천,15.9,서울
0,전국,2022-06-12,0.1,5.7,임실,4.7,임실
